Antecedent,Consequent,Support,Confidence,Lift
60 TEATIME FAIRY CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,0.011809045226130653,0.31886024423337855,11.83828145567954
72 SWEETHEART FAIRY CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.011809045226130653,0.43843283582089554,11.83828145567954
60 TEATIME FAIRY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,0.011457286432160804,0.3093622795115333,11.337586302540538
PACK OF 60 DINOSAUR CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.011457286432160804,0.419889502762431,11.337586302540538
60 TEATIME FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.01527638190954774,0.41248303934871106,10.872069513959403
PACK OF 60 PINK PAISLEY CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.01527638190954774,0.40264900662251657,10.872069513959403
PACK OF 60 SPACEBOY CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.010402010050251256,0.4321503131524008,11.668644819176087
60 TEATIME FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,0.01934673366834171,0.5223880597014926,8.802305155003982
PACK OF 72 RETROSPOT CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.01934673366834171,0.32599491955969523,8.802305155003983
PACK OF 72 SKULL CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.010954773869346734,0.3621262458471761,9.77789998963203
72 SWEETHEART FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,0.012261306532663316,0.4552238805970149,7.670580206503469
ALARM CLOCK BAKELIKE CHOCOLATE,ALARM CLOCK BAKELIKE GREEN,0.012663316582914573,0.6494845360824743,14.703916118363182
ALARM CLOCK BAKELIKE CHOCOLATE,ALARM CLOCK BAKELIKE PINK,0.010201005025125628,0.5231958762886597,15.023950848693115
ALARM CLOCK BAKELIKE CHOCOLATE,ALARM CLOCK BAKELIKE RED,0.01371859296482412,0.7036082474226804,14.331426943409765
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE IVORY,0.015678391959798994,0.3549488054607508,13.277220354640868
ALARM CLOCK BAKELIKE IVORY,ALARM CLOCK BAKELIKE GREEN,0.015678391959798994,0.5864661654135338,13.277220354640868
ALARM CLOCK BAKELIKE ORANGE,ALARM CLOCK BAKELIKE GREEN,0.012763819095477387,0.6091127098321343,13.78992369244536
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK,0.018693467336683416,0.4232081911262798,12.152731606656518
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE GREEN,0.018693467336683416,0.5367965367965367,12.152731606656518
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.02979899497487437,0.6746302616609783,13.741189567096692
